"KeuskupanID","NoUrutKeuskupan","NamaKeuskupan","NamaKeuskupanLatin","AlamatKeuskupan","KotaKeuskupan","TeleponKeuskupan","FaxKeuskupan","WebsiteKeuskupan","EmailKeuskupan","NamaUskupSaatIni"
"000",0,"Non Keuskupan","","","Jakarta","","","","",""
"001",1,"Keuskupan Agats Asmat","","","Asmat","","","","",""
"002",2,"Keuskupan Amboina","","","Ambon","","","","",""
"003",3,"Keuskupan Atambua","Dioecesis Atambuensis","","Atambua","","","","",""
"004",4,"Keuskupan Bandung","","","Bandung","","","","",""
"005",5,"Keuskupan Banjarmasin","","","Banjarmasin","","","","",""
"006",6,"Keuskupan Bogor","","","Bogor","","","","",""
"007",7,"Keuskupan Denpasar","","","Denpasar","","","","",""
"008",8,"Keuskupan Agung Ende","","","Ende","","","","",""
"009",9,"Keuskupan Agung Jakarta","Archidioecesis Jakartaensis","Jl. Katedral 7","Jakarta 10710","021-3813345, 3814322, 3511141","021-3855681","http://www.kaj.or.id","...","Mgr. Ignatius Suharyo Hardjoatmodjo Pr "
"010",10,"Keuskupan Jayapura","Dioecesis Jayapuraensis","","Jayapura","","","","",""
"011",11,"Keuskupan Ketapang","","","Ketapang","","","","",""
"012",12,"Keuskupan Agung Kupang","","","Kupang","","","","",""
"013",13,"Keuskupan Larantuka","","","Larantuka","","","","",""
"014",14,"Keuskupan Agung Makassar","Archidioecesis Makassarensis","","Makassar","","","","",""
"015",15,"Keuskupan Malang","Diocecis de Malangensis","","Malang","","","","",""
"016",16,"Keuskupan Manado","","","Manado","","","","",""
"017",17,"Keuskupan Manokwari - Sorong","","","Sorong","","","","",""
"018",18,"Keuskupan Agung Medan","","","Medan","","","","",""
"019",19,"Keuskupan Agung Merauke","","","Merauke","","","","",""
"020",20,"Keuskupan Padang","","","Padang","","","","",""
"021",21,"Keuskupan Palangkaraya","","","Palangkaraya","","","","",""
"022",22,"Keuskupan Agung Palembang","Archidiocesis Palembangensis","","Palembang","","","","",""
"023",23,"Keuskupan Pangkalpinang","","","Pangkal Pinang","","","","",""
"024",24,"Keuskupan Agung Pontianak","","","Pontianak","","","","",""
"025",25,"Keuskupan Purwokerto","","","Purwokerto","","","","",""
"026",26,"Keuskupan Ruteng","Dioecesis Rutengensis","","Ruteng","","","","",""
"027",27,"Keuskupan Agung Samarinda","","","Samarinda","","","","",""
"028",28,"Keuskupan Sanggau","","","Sanggau","","","","",""
"029",29,"Keuskupan Agung Semarang","","","Semarang","","","","",""
"030",30,"Keuskupan Sibolga","","","Sibolga","","","","",""
"031",31,"Keuskupan Sintang","","","Sintang","","","","",""
"032",32,"Keuskupan Surabaya","Diocesis Surabaya","","Surabaya","","","","",""
"033",33,"Keuskupan Weetebula","","","Weetebula","","","","",""
"034",34,"Keuskupan Tanjungkarang","Diocesis Tanjungkarangensis","","Tanjung Karang","","","","",""
"035",35,"Keuskupan Tanjung Selor","","","Samarinda","","","","",""
"036",36,"Keuskupan Timika","","","Merauke","","","","",""
"037",37,"Keuskupan Maumere","","","Ende","","","","",""
"038",38,"Keuskupan Dili","Diocese de Dili","","Maubisse","","","","",""
